Date,Day,Meal,Dish,Is_Weekend,Context_Exam,Context_Rain,Context_Holiday,Residents_Total,Historical_Average_Turnout,Student_RSVP_Attending,AI_Predicted_Turnout,Kitchen_Prepared_Qty,Actual_Consumed_Qty,Surplus_Waste_Qty,Waste_Percentage,CO2_Saved_kg
2026-07-20,Monday,Breakfast,Idli Sambar & Coconut Chutney,0,0,0,0,150,76,72,74,80,76,4,5.0%,5.5
2026-07-20,Monday,Lunch,Chole Bhature & Sweet Lassi,0,0,0,0,150,100,94,96,104,98,6,5.8%,8.2
2026-07-20,Monday,Dinner,Dal Makhani, Mix Veg Sabzi & Roti,0,0,0,0,150,115,108,110,119,114,5,4.2%,9.0
2026-07-21,Tuesday,Breakfast,Poha with Sev & Jalebi,0,0,1,0,150,76,82,80,86,84,2,2.3%,4.1
2026-07-21,Tuesday,Lunch,Rajma Chawal & Papad & Pickle,0,0,1,0,150,100,106,104,112,110,2,1.8%,5.3
2026-07-21,Tuesday,Dinner,Kadhi Pakora, Rice & Phulka,0,0,1,0,150,115,121,119,128,126,2,1.6%,6.5
2026-07-22,Wednesday,Breakfast,Uttapam & Tomato Chutney,0,1,0,0,150,76,58,62,67,64,3,4.5%,7.1
2026-07-22,Wednesday,Lunch,Dal Fry, Jeera Aloo & Roti,0,1,0,0,150,100,78,82,88,85,3,3.4%,8.5
2026-07-22,Wednesday,Dinner,Kadhai Paneer & Butter Naan,0,1,0,0,150,115,90,94,101,97,4,4.0%,9.8
2026-07-23,Thursday,Breakfast,Pav Bhaji & Sliced Lemon,0,0,0,0,150,76,74,75,81,78,3,3.7%,5.2
2026-07-23,Thursday,Lunch,Aloo Gobi, Dal Tadka & Steam Rice,0,0,0,0,150,100,98,99,107,102,5,4.7%,7.5
2026-07-23,Thursday,Dinner,Malai Kofta / Egg Curry & Phulka,0,0,0,0,150,115,112,113,122,118,4,3.3%,9.2
2026-07-24,Friday,Breakfast,Bread Omelette / Veg Cheese Sandwich,0,0,0,0,150,76,70,72,78,75,3,3.8%,4.8
2026-07-24,Friday,Lunch,Shahi Paneer, Dal Fry & Phulka,0,0,0,0,150,100,95,97,105,101,4,3.8%,7.2
2026-07-24,Friday,Dinner,Dal Makhani & Jeera Rice,0,0,0,0,150,115,106,108,117,112,5,4.3%,8.1
2026-07-25,Saturday,Breakfast,Puri Sabzi & Sweet Sooji Halwa,1,0,0,0,150,61,54,56,60,56,4,6.7%,4.4
2026-07-25,Saturday,Lunch,Veg Pulao, Curd & Onion Salad,1,0,0,0,150,80,70,72,78,73,5,6.4%,5.8
2026-07-25,Saturday,Dinner,Paneer Lababdar / Chicken Masala & Phulka,1,0,0,0,150,92,81,84,91,86,5,5.5%,7.1
2026-07-26,Sunday,Breakfast,Aloo Paratha with Butter & Curd,1,0,0,1,150,61,34,38,41,38,3,7.3%,6.2
2026-07-26,Sunday,Lunch,Special Veg Biryani & Salan,1,0,0,1,150,80,44,48,52,47,5,9.6%,8.3
2026-07-26,Sunday,Dinner,Dal Makhani & Phulka / Paneer Butter Masala,1,0,0,1,150,92,51,55,59,54,5,8.5%,9.5
